Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
    Estimate,-,"116,900","154,800","120,400"
    Margin of Error,**,"±10,608","±27,094","±32,695"
ZCTA5 01026,,,,
    Estimate,-,"278,600","232,000","216,000"
    Margin of Error,**,"±26,727","±44,660","±28,417"
ZCTA5 01027,,,,
    Estimate,"361,100","280,300","317,700","274,000"
    Margin of Error,"±146,935","±23,895","±37,521","±16,165"
ZCTA5 01028,,,,
    Estimate,"221,700","269,000","274,200","329,000"
    Margin of Error,"±11,884","±32,062","±35,883","±39,622"
ZCTA5 01029,,,,
    Estimate,-,-,"285,200","272,400"
    Margin of Error,**,**,"±245,745","±62,988"
ZCTA5 01030,,,,
    Estimate,-,"282,000","271,600","247,300"
    Margin of Error,**,"±33,910","±18,583","±31,287"
ZCTA5 01031,,,,
    Estimate,-,"216,300","275,000","196,200"
    Margin of Error,**,"±22,115","±147,409","±30,904"
ZCTA5 01032,,,,
    Estimate,-,"212,500",-,"243,500"
    Margin of Error,**,"±106,769",**,"±47,247"
ZCTA5 01033,,,,
    Estimate,-,"281,800","310,300","287,800"
    Margin of Error,**,"±17,754","±94,405","±40,994"
ZCTA5 01034,,,,
    Estimate,-,"287,500","280,400","322,400"
    Margin of Error,**,"±58,098","±44,788","±35,133"
ZCTA5 01035,,,,
    Estimate,"407,400","392,600","379,200","342,800"
    Margin of Error,"±71,998","±120,257","±55,080","±46,821"
ZCTA5 01036,,,,
    Estimate,"364,600","402,700","277,000","265,500"
    Margin of Error,"±61,367","±261,240","±47,126","±29,470"
ZCTA5 01037,,,,
    Estimate,-,-,"267,700",-
    Margin of Error,**,**,"±12,311",**
ZCTA5 01038,,,,
    Estimate,-,"327,200","322,300","368,500"
    Margin of Error,**,"±36,253","±58,390","±105,855"
ZCTA5 01039,,,,
    Estimate,"511,400","283,300","411,700","312,200"
    Margin of Error,"±196,967","±116,428","±178,265","±39,733"
ZCTA5 01040,,,,
    Estimate,"166,000","190,500","211,900","197,000"
    Margin of Error,"±27,133","±31,975","±19,106","±19,664"
ZCTA5 01050,,,,
    Estimate,-,"177,100","238,600","230,800"
    Margin of Error,**,"±79,535","±35,047","±21,175"
ZCTA5 01053,,,,
    Estimate,-,-,"296,700","279,200"
    Margin of Error,**,**,"±62,801","±22,704"
ZCTA5 01054,,,,
    Estimate,"312,500","372,400","464,300","334,800"
    Margin of Error,"±129,653","±45,778","±182,083","±31,031"
ZCTA5 01056,,,,
    Estimate,"352,700","218,800","253,200","232,400"
    Margin of Error,"±26,030","±34,208","±60,208","±27,715"
ZCTA5 01057,,,,
    Estimate,-,"237,000","253,800","272,800"
    Margin of Error,**,"±44,689","±68,981","±14,712"
ZCTA5 01060,,,,
    Estimate,"172,300","377,000","354,600","376,700"
    Margin of Error,"±48,274","±143,584","±21,899","±46,780"
ZCTA5 01062,,,,
    Estimate,-,"373,700","347,900","363,800"
    Margin of Error,**,"±63,606","±18,978","±38,664"
ZCTA5 01063,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01066,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01068,,,,
    Estimate,-,"310,000","330,400","296,800"
    Margin of Error,**,"±51,331","±33,240","±29,468"
ZCTA5 01069,,,,
    Estimate,-,"232,400","262,000","156,400"
    Margin of Error,**,"±27,712","±77,252","±39,926"
ZCTA5 01070,,,,
    Estimate,-,"410,000","188,900","245,000"
    Margin of Error,**,"±102,334","±21,596","±61,272"
ZCTA5 01071,,,,
    Estimate,-,"204,200","166,700","240,000"
    Margin of Error,**,"±111,744","±51,236","±45,770"
ZCTA5 01072,,,,
    Estimate,-,"281,900","265,600","253,900"
    Margin of Error,**,"±45,799","±71,762","±27,993"
ZCTA5 01073,,,,
    Estimate,-,"302,900","308,400","409,700"
    Margin of Error,**,"±52,984","±84,471","±56,194"
ZCTA5 01074,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 01075,,,,
    Estimate,"245,000","303,100","247,100","261,900"
    Margin of Error,"±85,346","±44,004","±30,581","±20,347"
ZCTA5 01077,,,,
    Estimate,"342,400","390,700","285,400","311,600"
