Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
    Margin of Error,**,**,"±2,593","±1,011"
ZCTA5 67420,,,,
    Estimate,"72,900","122,900","98,200","98,300"
    Margin of Error,"±14,093","±77,056","±85,340","±32,335"
ZCTA5 67422,,,,
    Estimate,-,"113,500","141,300","169,400"
    Margin of Error,**,"±14,552","±36,109","±39,770"
ZCTA5 67423,,,,
    Estimate,-,"10,000-",-,-
    Margin of Error,**,***,**,**
ZCTA5 67425,,,,
    Estimate,-,"159,400","147,200","66,200"
    Margin of Error,**,"±82,766","±37,266","±4,968"
ZCTA5 67427,,,,
    Estimate,-,-,"50,000",-
    Margin of Error,**,**,"±29,025",**
ZCTA5 67428,,,,
    Estimate,-,"129,200","162,500","110,000"
    Margin of Error,**,"±62,657","±104,717","±38,048"
ZCTA5 67430,,,,
    Estimate,"70,000","90,600","34,300","82,300"
    Margin of Error,"±7,393","±64,890","±27,511","±13,620"
ZCTA5 67431,,,,
    Estimate,"118,100","162,500","164,100","155,400"
    Margin of Error,"±115,842","±26,398","±64,988","±23,226"
ZCTA5 67432,,,,
    Estimate,"107,900","130,400","100,100","114,800"
    Margin of Error,"±26,235","±113,990","±36,245","±30,294"
ZCTA5 67436,,,,
    Estimate,-,"158,300",-,-
    Margin of Error,**,"±25,869",**,**
ZCTA5 67437,,,,
    Estimate,-,"81,500","75,000","83,800"
    Margin of Error,**,"±22,624","±32,879","±37,971"
ZCTA5 67438,,,,
    Estimate,-,-,-,"106,300"
    Margin of Error,**,**,**,"±34,816"
ZCTA5 67439,,,,
    Estimate,"65,600","104,200","171,500","114,900"
    Margin of Error,"±36,325","±56,785","±73,751","±20,723"
ZCTA5 67441,,,,
    Estimate,-,"90,800","113,500","55,000"
    Margin of Error,**,"±19,620","±12,020","±5,430"
ZCTA5 67442,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67443,,,,
    Estimate,-,"161,300","174,100","185,400"
    Margin of Error,**,"±19,060","±15,823","±5,123"
ZCTA5 67444,,,,
    Estimate,-,"167,500",-,"122,900"
    Margin of Error,**,"±165,713",**,"±80,893"
ZCTA5 67445,,,,
    Estimate,-,"40,000","38,800","38,000"
    Margin of Error,**,"±38,995","±20,801","±1,254"
ZCTA5 67446,,,,
    Estimate,-,"262,500","71,700","137,500"
    Margin of Error,**,"±89,358","±27,798","±135,213"
ZCTA5 67447,,,,
    Estimate,-,-,-,"81,600"
    Margin of Error,**,**,**,"±52,516"
ZCTA5 67448,,,,
    Estimate,-,"114,800","164,600","96,700"
    Margin of Error,**,"±67,102","±35,702","±89,513"
ZCTA5 67449,,,,
    Estimate,"122,700","92,500","83,000","47,700"
    Margin of Error,"±111,302","±47,639","±16,073","±6,628"
ZCTA5 67450,,,,
    Estimate,-,"85,000","56,400","59,600"
    Margin of Error,**,"±38,135","±23,448","±26,851"
ZCTA5 67451,,,,
    Estimate,-,"37,500","164,300","150,000"
    Margin of Error,**,"±27,279","±77,008","±98,172"
ZCTA5 67452,,,,
    Estimate,-,-,"96,500",-
    Margin of Error,**,**,"±55,253",**
ZCTA5 67454,,,,
    Estimate,-,"109,000","70,000","123,200"
    Margin of Error,**,"±7,192","±16,415","±42,036"
ZCTA5 67455,,,,
    Estimate,-,"88,300","73,900",-
    Margin of Error,**,"±54,200","±32,287",**
ZCTA5 67456,,,,
    Estimate,-,"123,100","129,800","162,100"
    Margin of Error,**,"±40,080","±30,726","±27,924"
ZCTA5 67457,,,,
    Estimate,-,"191,700","210,000","120,800"
    Margin of Error,**,"±123,990","±50,523","±64,421"
ZCTA5 67458,,,,
    Estimate,-,"52,500",-,"38,200"
    Margin of Error,**,"±31,491",**,"±19,124"
ZCTA5 67459,,,,
    Estimate,-,-,-,"267,500"
    Margin of Error,**,**,**,"±23,866"
ZCTA5 67460,,,,
    Estimate,"193,500","145,300","139,800","163,300"
    Margin of Error,"±89,731","±36,987","±11,365","±23,470"
ZCTA5 67464,,,,
    Estimate,-,"156,700","88,800","75,900"
    Margin of Error,**,"±55,166","±48,672","±25,544"
ZCTA5 67466,,,,
    Estimate,-,"56,300","51,900","82,300"
    Margin of Error,**,"±19,981","±37,454","±22,254"
ZCTA5 67467,,,,
    Estimate,-,"142,500","154,600","74,500"
    Margin of Error,**,"±37,794","±103,580","±19,220"
ZCTA5 67468,,,,
    Estimate,-,-,-,"77,500"
    Margin of Error,**,**,**,"±27,626"
ZCTA5 67470,,,,
    Estimate,-,-,"156,300",-
    Margin of Error,**,**,"±87,140",**
ZCTA5 67473,,,,
    Estimate,-,-,"61,700","90,300"
    Margin of Error,**,**,"±27,723","±53,986"
ZCTA5 67474,,,,
    Estimate,-,"31,900","64,700","25,000"
    Margin of Error,**,"±1,203","±29,241","±14,209"
ZCTA5 67475,,,,
    Estimate,-,-,-,"92,500"
    Margin of Error,**,**,**,"±28,786"
ZCTA5 67478,,,,
    Estimate,-,-,"22,500",-
    Margin of Error,**,**,"±14,270",**
ZCTA5 67480,,,,
    Estimate,-,"164,600","118,800","139,100"
    Margin of Error,**,"±16,725","±62,880","±52,123"
ZCTA5 67481,,,,
    Estimate,"65,000",-,-,-
    Margin of Error,"±2,478",**,**,**
ZCTA5 67482,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67483,,,,
    Estimate,-,"55,000","113,900","65,900"
    Margin of Error,**,"±27,715","±79,866","±35,979"
ZCTA5 67484,,,,
    Estimate,-,"217,900",-,-
    Margin of Error,**,"±124,225",**,**
ZCTA5 67485,,,,
    Estimate,-,-,"212,500","84,400"
    Margin of Error,**,**,"±84,187","±10,168"
ZCTA5 67487,,,,
    Estimate,-,"138,800","182,700","133,900"
    Margin of Error,**,"±51,737","±135,594","±20,293"
ZCTA5 67490,,,,
    Estimate,-,"80,000","28,000","96,400"
    Margin of Error,**,"±9,955","±1,537","±40,312"
ZCTA5 67491,,,,
    Estimate,-,-,-,"214,300"
    Margin of Error,**,**,**,"±171,875"
ZCTA5 67492,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67501,,,,
    Estimate,"87,800","72,400","66,700","75,000"
    Margin of Error,"±37,672","±11,892","±5,369","±8,174"
ZCTA5 67502,,,,
    Estimate,"164,400","165,700","156,500","154,300"
    Margin of Error,"±28,123","±9,454","±25,131","±12,000"
ZCTA5 67505,,,,
    Estimate,-,"119,200","133,200","96,400"
    Margin of Error,**,"±27,916","±23,042","±23,819"
ZCTA5 67510,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67511,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67512,,,,
    Estimate,-,"36,700",-,"55,000"
    Margin of Error,**,"±4,951",**,"±54,235"
ZCTA5 67513,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67514,,,,
    Estimate,-,-,"67,500","70,000"
    Margin of Error,**,**,"±43,824","±27,353"
ZCTA5 67515,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67516,,,,
    Estimate,-,"25,000","55,000","43,300"
    Margin of Error,**,"±11,337","±40,941","±9,383"
ZCTA5 67518,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67519,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67520,,,,
    Estimate,"34,700",-,"57,900",-
    Margin of Error,"±17,035",**,"±32,455",**
ZCTA5 67521,,,,
    Estimate,-,-,"65,700",-
    Margin of Error,**,**,"±2,346",**
ZCTA5 67522,,,,
    Estimate,-,"100,000","126,500","164,600"
    Margin of Error,**,"±74,937","±34,056","±37,382"
ZCTA5 67523,,,,
    Estimate,-,-,"53,300","53,300"
    Margin of Error,**,**,"±18,704","±8,780"
ZCTA5 67524,,,,
    Estimate,-,-,"73,300","31,300"
    Margin of Error,**,**,"±66,921","±10,404"
ZCTA5 67525,,,,
    Estimate,-,"97,000",-,"78,800"
    Margin of Error,**,"±37,446",**,"±62,475"
ZCTA5 67526,,,,
    Estimate,-,-,"100,400","80,000"
    Margin of Error,**,**,"±22,218","±44,225"
ZCTA5 67529,,,,
    Estimate,-,"57,500",-,"63,300"
    Margin of Error,**,"±33,089",**,"±34,169"
ZCTA5 67530,,,,
    Estimate,"111,900","133,500","99,800","106,600"
    Margin of Error,"±94,582","±24,950","±55,947","±13,474"
ZCTA5 67543,,,,
    Estimate,"114,700","93,000","114,000","107,100"
    Margin of Error,"±12,355","±13,243","±18,082","±50,706"
ZCTA5 67544,,,,
    Estimate,-,-,"80,600","92,700"
    Margin of Error,**,**,"±55,574","±21,626"
ZCTA5 67545,,,,
    Estimate,-,-,"86,700",-
    Margin of Error,**,**,"±69,319",**
ZCTA5 67546,,,,
    Estimate,-,"173,100","124,300","162,500"
    Margin of Error,**,"±29,796","±30,545","±49,288"
ZCTA5 67547,,,,
    Estimate,-,"63,100","48,300","61,300"
    Margin of Error,**,"±25,464","±28,168","±15,962"
ZCTA5 67548,,,,
    Estimate,"10,000-","120,400","95,000","63,300"
    Margin of Error,***,"±15,857","±40,559","±27,742"
ZCTA5 67550,,,,
    Estimate,"28,300","149,600","83,100","114,200"
    Margin of Error,"±13,954","±28,019","±6,218","±73,992"
ZCTA5 67552,,,,
    Estimate,-,-,"48,900","68,900"
    Margin of Error,**,**,"±24,438","±13,282"
ZCTA5 67553,,,,
    Estimate,-,-,"36,300",-
    Margin of Error,**,**,"±31,488",**
ZCTA5 67554,,,,
    Estimate,-,"53,700","77,900","59,400"
    Margin of Error,**,"±16,199","±21,133","±34,403"
ZCTA5 67556,,,,
    Estimate,-,"55,000","27,500","108,300"
    Margin of Error,**,"±39,342","±21,125","±52,704"
ZCTA5 67557,,,,
    Estimate,-,-,"63,800","46,700"
    Margin of Error,**,**,"±16,436","±16,803"
ZCTA5 67559,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67560,,,,
    Estimate,-,"83,800","97,700","84,100"
    Margin of Error,**,"±10,476","±25,239","±25,065"
ZCTA5 67561,,,,
    Estimate,-,"72,500","90,400","82,200"
    Margin of Error,**,"±45,224","±53,244","±20,314"
ZCTA5 67563,,,,
    Estimate,-,"132,500","76,300","47,500"
    Margin of Error,**,"±39,498","±2,879","±23,871"
ZCTA5 67564,,,,
    Estimate,-,-,-,"72,900"
    Margin of Error,**,**,**,"±52,664"
ZCTA5 67565,,,,
    Estimate,-,-,"94,300","29,400"
    Margin of Error,**,**,"±7,903","±8,942"
ZCTA5 67566,,,,
    Estimate,-,"68,300","112,500","134,700"
    Margin of Error,**,"±43,784","±14,265","±96,910"
ZCTA5 67567,,,,
    Estimate,"153,800","35,000",-,"60,000"
    Margin of Error,"±60,922","±31,752",**,"±35,638"
ZCTA5 67568,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67570,,,,
    Estimate,-,-,"150,600","67,200"
    Margin of Error,**,**,"±67,799","±4,480"
ZCTA5 67572,,,,
    Estimate,-,"65,000","70,000","52,800"
    Margin of Error,**,"±59,828","±58,896","±13,088"
ZCTA5 67573,,,,
    Estimate,-,-,"260,700",-
    Margin of Error,**,**,"±187,882",**
ZCTA5 67574,,,,
    Estimate,-,"75,000",-,"40,000"
    Margin of Error,**,"±29,402",**,"±19,262"
ZCTA5 67575,,,,
    Estimate,-,"77,400","39,200","110,400"
    Margin of Error,**,"±3,181","±37,892","±63,140"
ZCTA5 67576,,,,
    Estimate,"143,800","61,900","89,500","75,800"
    Margin of Error,"±138,703","±13,135","±75,548","±28,009"
ZCTA5 67578,,,,
    Estimate,-,"38,300","40,000","54,700"
    Margin of Error,**,"±23,199","±22,982","±4,111"
ZCTA5 67579,,,,
    Estimate,"118,800","130,900","135,700","80,900"
    Margin of Error,"±44,548","±19,531","±48,771","±15,169"
ZCTA5 67581,,,,
    Estimate,-,-,"28,500",-
    Margin of Error,**,**,"±7,216",**
ZCTA5 67583,,,,
    Estimate,-,"27,800","29,000","68,600"
    Margin of Error,**,"±7,924","±16,687","±35,307"
ZCTA5 67584,,,,
    Estimate,-,"55,000",-,"22,900"
    Margin of Error,**,"±34,492",**,"±5,854"
ZCTA5 67601,,,,
    Estimate,"197,100","199,100","222,700","174,000"
    Margin of Error,"±184,918","±32,678","±51,313","±28,425"
ZCTA5 67621,,,,
    Estimate,-,"154,200","57,500","56,700"
    Margin of Error,**,"±138,406","±14,922","±34,856"
ZCTA5 67622,,,,
    Estimate,-,"66,500","59,500","69,300"
    Margin of Error,**,"±19,685","±33,909","±27,542"
ZCTA5 67623,,,,
    Estimate,-,"23,800",-,-
    Margin of Error,**,"±2,082",**,**
ZCTA5 67625,,,,
    Estimate,-,-,-,"52,500"
    Margin of Error,**,**,**,"±49,456"
ZCTA5 67626,,,,
    Estimate,-,"95,000","66,300","108,800"
    Margin of Error,**,"±24,708","±7,512","±49,108"
ZCTA5 67628,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67629,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67631,,,,
    Estimate,-,"85,000",-,"71,300"
    Margin of Error,**,"±49,483",**,"±71,217"
ZCTA5 67632,,,,
    Estimate,-,-,-,"46,700"
    Margin of Error,**,**,**,"±28,651"
ZCTA5 67634,,,,
    Estimate,-,-,-,"21,900"
    Margin of Error,**,**,**,"±18,504"
ZCTA5 67635,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67637,,,,
    Estimate,"104,200","153,500","167,200","124,300"
    Margin of Error,"±79,358","±41,401","±47,764","±65,317"
ZCTA5 67638,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67639,,,,
    Estimate,-,-,-,"165,000"
    Margin of Error,**,**,**,"±16,346"
ZCTA5 67640,,,,
    Estimate,-,"112,500",-,"85,000"
    Margin of Error,**,"±9,962",**,"±27,176"
ZCTA5 67642,,,,
    Estimate,"93,400","84,700","95,000","79,000"
    Margin of Error,"±2,513","±9,658","±52,928","±23,026"
ZCTA5 67643,,,,
    Estimate,-,-,"185,000",-
    Margin of Error,**,**,"±111,720",**
ZCTA5 67644,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67645,,,,
    Estimate,-,"63,300",-,"91,500"
    Margin of Error,**,"±19,254",**,"±79,691"
ZCTA5 67646,,,,
    Estimate,"36,300","108,300","63,500","69,000"
    Margin of Error,"±15,778","±18,768","±3,621","±18,239"
ZCTA5 67647,,,,
    Estimate,-,"47,500","72,500",-
    Margin of Error,**,"±8,301","±67,938",**
ZCTA5 67648,,,,
    Estimate,-,-,-,"47,500"
    Margin of Error,**,**,**,"±28,376"
ZCTA5 67649,,,,
    Estimate,-,"46,000","80,000","52,000"
    Margin of Error,**,"±16,250","±56,974","±34,514"
ZCTA5 67650,,,,
    Estimate,-,"63,600",-,"43,900"
    Margin of Error,**,"±36,548",**,"±4,559"
ZCTA5 67651,,,,
    Estimate,-,"18,500","44,400","58,300"
    Margin of Error,**,"±9,907","±15,947","±17,983"
ZCTA5 67653,,,,
    Estimate,-,"51,500","70,000","52,500"
    Margin of Error,**,"±28,255","±22,144","±51,639"
ZCTA5 67654,,,,
    Estimate,-,"165,400","69,400","97,700"
    Margin of Error,**,"±104,770","±54,448","±61,018"
ZCTA5 67656,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67657,,,,
    Estimate,-,-,-,"83,800"
    Margin of Error,**,**,**,"±36,332"
ZCTA5 67658,,,,
    Estimate,-,-,-,"229,200"
    Margin of Error,**,**,**,"±73,985"
ZCTA5 67659,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67660,,,,
    Estimate,-,"75,500",-,-
    Margin of Error,**,"±24,155",**,**
ZCTA5 67661,,,,
    Estimate,-,"38,300","95,000","92,200"
    Margin of Error,**,"±14,312","±56,357","±17,172"
ZCTA5 67663,,,,
    Estimate,"153,100","88,100","76,400","111,400"
    Margin of Error,"±140,742","±64,155","±31,233","±9,496"
ZCTA5 67664,,,,
    Estimate,-,-,"215,000","65,000"
    Margin of Error,**,**,"±171,427","±15,905"
ZCTA5 67665,,,,
    Estimate,-,-,"130,400","132,800"
    Margin of Error,**,**,"±73,011","±90,903"
ZCTA5 67667,,,,
    Estimate,-,"114,600",-,"62,500"
    Margin of Error,**,"±48,560",**,"±19,870"
ZCTA5 67669,,,,
    Estimate,-,"81,700","59,900","55,200"
    Margin of Error,**,"±20,792","±15,298","±4,169"
ZCTA5 67671,,,,
    Estimate,-,"152,000","144,400","200,000"
    Margin of Error,**,"±46,246","±49,687","±65,152"
ZCTA5 67672,,,,
    Estimate,-,-,"111,000","80,000"
    Margin of Error,**,**,"±8,527","±31,351"
ZCTA5 67673,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67674,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67675,,,,
    Estimate,-,-,"94,100","31,500"
    Margin of Error,**,**,"±64,639","±21,857"
ZCTA5 67701,,,,
    Estimate,-,"101,100","130,300","122,500"
    Margin of Error,**,"±21,480","±31,778","±43,871"
ZCTA5 67730,,,,
    Estimate,"123,400","202,900","162,500","102,300"
    Margin of Error,"±119,196","±111,119","±77,129","±34,887"
ZCTA5 67731,,,,
    Estimate,-,"74,700",-,"112,500"
    Margin of Error,**,"±4,757",**,"±110,170"
ZCTA5 67732,,,,
    Estimate,-,"85,000","160,200","115,000"
    Margin of Error,**,"±59,281","±133,829","±79,614"
ZCTA5 67733,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67734,,,,
    Estimate,-,"10,000-",-,-
    Margin of Error,**,***,**,**
ZCTA5 67735,,,,
    Estimate,-,"120,200","158,100","131,200"
    Margin of Error,**,"±19,929","±113,716","±42,642"
ZCTA5 67736,,,,
    Estimate,-,"22,300",-,-
    Margin of Error,**,"±2,600",**,**
ZCTA5 67737,,,,
    Estimate,-,-,"84,400","84,100"
    Margin of Error,**,**,"±13,106","±5,965"
ZCTA5 67738,,,,
    Estimate,-,"69,100","69,700","93,300"
    Margin of Error,**,"±14,174","±68,826","±25,759"
ZCTA5 67739,,,,
    Estimate,-,"37,500","35,400",-
    Margin of Error,**,"±12,451","±35,270",**
ZCTA5 67740,,,,
    Estimate,-,"147,900","116,000","139,400"
    Margin of Error,**,"±66,916","±50,175","±29,272"
ZCTA5 67741,,,,
    Estimate,-,-,-,"64,800"
    Margin of Error,**,**,**,"±1,673"
ZCTA5 67743,,,,
    Estimate,-,-,-,"87,500"
    Margin of Error,**,**,**,"±28,720"
ZCTA5 67744,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67745,,,,
    Estimate,-,"189,100","325,000","73,400"
    Margin of Error,**,"±126,963","±321,659","±33,594"
ZCTA5 67747,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67748,,,,
    Estimate,-,"113,200","107,900","100,700"
    Margin of Error,**,"±34,371","±36,185","±33,917"
ZCTA5 67749,,,,
    Estimate,-,"79,500","63,200","59,600"
    Margin of Error,**,"±12,368","±14,795","±9,931"
ZCTA5 67751,,,,
    Estimate,-,"52,500","23,500","92,500"
    Margin of Error,**,"±24,814","±14,989","±14,216"
ZCTA5 67752,,,,
    Estimate,-,"135,800","128,800","151,500"
    Margin of Error,**,"±11,933","±30,154","±20,819"
ZCTA5 67753,,,,
    Estimate,-,"72,900",-,"97,500"
    Margin of Error,**,"±62,890",**,"±19,881"
ZCTA5 67756,,,,
    Estimate,-,"93,000","78,300","104,900"
    Margin of Error,**,"±29,535","±67,208","±24,245"
ZCTA5 67757,,,,
    Estimate,-,"142,500","158,300","59,300"
    Margin of Error,**,"±30,466","±150,829","±54,669"
ZCTA5 67758,,,,
    Estimate,-,"71,900","89,000","80,000"
    Margin of Error,**,"±22,103","±30,421","±74,120"
ZCTA5 67761,,,,
    Estimate,-,-,-,"85,000"
    Margin of Error,**,**,**,"±43,136"
ZCTA5 67762,,,,
    Estimate,-,-,"258,300",-
    Margin of Error,**,**,"±70,529",**
ZCTA5 67764,,,,
    Estimate,-,"64,000","65,000","106,300"
    Margin of Error,**,"±15,487","±57,325","±42,812"
ZCTA5 67801,,,,
    Estimate,-,"115,200","106,200","117,200"
    Margin of Error,**,"±41,882","±19,652","±15,271"
ZCTA5 67831,,,,
    Estimate,-,"67,700",-,"54,300"
    Margin of Error,**,"±44,892",**,"±17,516"
ZCTA5 67834,,,,
    Estimate,"55,300","87,800","83,300","77,000"
    Margin of Error,"±3,711","±11,083","±24,545","±12,862"
ZCTA5 67835,,,,
    Estimate,-,"156,700","145,200","221,300"
    Margin of Error,**,"±25,294","±30,028","±60,040"
ZCTA5 67836,,,,
    Estimate,-,"69,000",-,-
    Margin of Error,**,"±24,245",**,**
ZCTA5 67837,,,,
    Estimate,-,"137,500","151,800",-
    Margin of Error,**,"±53,802","±141,732",**
ZCTA5 67838,,,,
    Estimate,-,-,"108,000","52,200"
    Margin of Error,**,**,"±40,484","±38,840"
ZCTA5 67839,,,,
    Estimate,-,"45,700",-,"126,400"
    Margin of Error,**,"±41,856",**,"±35,356"
ZCTA5 67840,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67841,,,,
    Estimate,-,"72,500","52,500","38,600"
    Margin of Error,**,"±6,767","±21,682","±9,117"
ZCTA5 67842,,,,
    Estimate,-,-,-,"36,300"
    Margin of Error,**,**,**,"±13,891"
ZCTA5 67843,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67844,,,,
    Estimate,"127,900",-,"151,800","53,800"
    Margin of Error,"±59,175",**,"±78,784","±49,199"
ZCTA5 67846,,,,
    Estimate,"173,100","169,900","152,600","154,600"
    Margin of Error,"±25,845","±13,707","±12,819","±12,277"
ZCTA5 67849,,,,
    Estimate,-,"47,500",-,-
    Margin of Error,**,"±45,417",**,**
ZCTA5 67850,,,,
    Estimate,-,-,"64,400",-
    Margin of Error,**,**,"±4,351",**
ZCTA5 67851,,,,
    Estimate,"267,700","152,800","184,700","164,200"
    Margin of Error,"±131,618","±31,873","±22,136","±25,827"
ZCTA5 67853,,,,
    Estimate,-,"193,800","58,200",-
    Margin of Error,**,"±50,109","±45,219",**
ZCTA5 67854,,,,
    Estimate,-,"72,300","160,400","84,200"
    Margin of Error,**,"±14,982","±107,886","±19,426"
ZCTA5 67855,,,,
    Estimate,-,"56,800",-,"76,700"
    Margin of Error,**,"±13,752",**,"±68,602"
ZCTA5 67857,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67859,,,,
    Estimate,-,-,"95,800","86,900"
    Margin of Error,**,**,"±57,050","±63,309"
ZCTA5 67860,,,,
    Estimate,-,"121,900",-,"156,300"
    Margin of Error,**,"±110,257",**,"±99,621"
ZCTA5 67861,,,,
    Estimate,-,"85,800","134,600","134,100"
    Margin of Error,**,"±44,819","±11,417","±88,632"
ZCTA5 67862,,,,
    Estimate,-,-,-,"62,500"
    Margin of Error,**,**,**,"±43,133"
ZCTA5 67863,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67864,,,,
    Estimate,-,"109,600","117,400","83,300"
    Margin of Error,**,"±42,665","±10,334","±24,807"
ZCTA5 67865,,,,
    Estimate,-,"128,400","106,300","111,700"
    Margin of Error,**,"±38,517","±30,484","±7,558"
ZCTA5 67867,,,,
    Estimate,"82,000","162,500","120,600","159,700"
    Margin of Error,"±25,207","±133,487","±83,291","±29,822"
ZCTA5 67868,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67869,,,,
    Estimate,-,"138,600","155,500","87,100"
    Margin of Error,**,"±56,526","±83,745","±31,449"
ZCTA5 67870,,,,
    Estimate,-,"81,800","109,000","85,900"
    Margin of Error,**,"±37,912","±53,528","±11,163"
ZCTA5 67871,,,,
    Estimate,-,"187,300","284,100","92,800"
    Margin of Error,**,"±22,635","±144,104","±29,898"
ZCTA5 67876,,,,
    Estimate,-,"131,300","133,900","158,600"
    Margin of Error,**,"±34,672","±119,407","±28,345"
ZCTA5 67877,,,,
    Estimate,"159,400","68,900","137,500","105,700"
    Margin of Error,"±13,118","±39,868","±62,827","±39,030"
ZCTA5 67878,,,,
    Estimate,-,"65,500","68,800","64,600"
    Margin of Error,**,"±21,555","±48,153","±34,781"
ZCTA5 67879,,,,
    Estimate,-,"178,100","89,300","167,300"
    Margin of Error,**,"±114,466","±40,867","±58,600"
ZCTA5 67880,,,,
    Estimate,-,"163,100","89,800","104,500"
    Margin of Error,**,"±31,672","±32,985","±26,807"
ZCTA5 67882,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67901,,,,
    Estimate,"10,000-","112,100","118,700","111,000"
    Margin of Error,***,"±44,260","±15,030","±13,586"
ZCTA5 67950,,,,
    Estimate,-,"48,200","73,000","113,600"
    Margin of Error,**,"±17,337","±27,178","±10,292"
ZCTA5 67951,,,,
    Estimate,-,-,"131,300","56,400"
    Margin of Error,**,**,"±35,667","±43,622"
ZCTA5 67952,,,,
    Estimate,-,"137,500","126,100","164,100"
    Margin of Error,**,"±124,446","±47,372","±53,813"
ZCTA5 67953,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 67954,,,,
    Estimate,-,"71,300",-,"70,700"
    Margin of Error,**,"±58,901",**,"±41,199"
ZCTA5 68001,,,,
    Estimate,-,-,-,"28,300"
    Margin of Error,**,**,**,"±19,106"
ZCTA5 68002,,,,
    Estimate,-,"257,700","169,900","256,300"
    Margin of Error,**,"±28,540","±29,441","±144,188"
ZCTA5 68003,,,,
    Estimate,"170,100","273,700","178,600","234,800"
    Margin of Error,"±89,295","±25,575","±23,252","±74,979"
ZCTA5 68004,,,,
    Estimate,-,"39,300","131,300","99,400"
    Margin of Error,**,"±8,132","±48,488","±26,772"
ZCTA5 68005,,,,
    Estimate,"186,600","134,000","145,000","158,800"
    Margin of Error,"±79,422","±14,506","±7,824","±13,269"
ZCTA5 68007,,,,
    Estimate,"313,600","293,300","268,300","267,200"
    Margin of Error,"±93,708","±27,288","±24,793","±55,564"
ZCTA5 68008,,,,
    Estimate,"217,600","229,800","195,500","161,400"
    Margin of Error,"±24,418","±66,394","±46,479","±42,063"
ZCTA5 68010,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 68014,,,,
    Estimate,-,"270,900","95,000","111,400"
    Margin of Error,**,"±5,422","±45,310","±4,105"
ZCTA5 68015,,,,
    Estimate,-,"118,500","144,900","250,000"
    Margin of Error,**,"±34,505","±54,583","±64,652"
ZCTA5 68016,,,,
    Estimate,-,"255,000","268,800","240,400"
    Margin of Error,**,"±57,016","±62,428","±51,836"
ZCTA5 68017,,,,
    Estimate,-,"186,100","127,000","179,200"
    Margin of Error,**,"±52,977","±42,433","±79,597"
ZCTA5 68018,,,,
    Estimate,-,"68,800","159,500","225,000"
    Margin of Error,**,"±60,022","±6,315","±200,491"
ZCTA5 68019,,,,
    Estimate,-,"18,100","111,100","112,500"
    Margin of Error,**,"±2,836","±41,895","±108,407"
ZCTA5 68020,,,,
    Estimate,-,"52,500","216,700","84,600"
    Margin of Error,**,"±52,336","±11,454","±29,274"
ZCTA5 68022,,,,
    Estimate,"394,300","413,200","355,800","333,000"
    Margin of Error,"±75,674","±26,252","±48,399","±13,192"
ZCTA5 68023,,,,
